dataset,model,reg_type,penalty_transform,lambda,mlp_epochs,seed,run,best_valid,test_at_best_valid,penalty_dist,offdiag_cv,mlp_acc,cooc_oracle_dist,budget,n_prior_edges,config
wikics,polynormer,none,,0.0,,42,0,73.7012,73.3710,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,1,72.2222,70.8740,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,2,76.0903,74.6537,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,3,73.5305,71.8146,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,4,70.6864,68.6848,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,5,75.5214,74.2603,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,6,70.4209,69.7110,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,7,68.1835,67.7954,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,8,73.5116,73.3196,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,none,,0.0,,42,9,71.8430,69.7110,,,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,0,73.6253,73.4736,0.0,0.1420823633670807,,0.8031978607177734,10,30,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,1,71.6344,70.5490,0.0,0.10814432054758072,,0.8200718760490417,10,20,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,2,75.7679,74.2945,0.0,0.0844617635011673,,0.7732729911804199,10,18,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,3,73.3788,71.6094,0.0,0.11870409548282623,,0.7747644782066345,10,30,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,4,69.8331,68.5309,0.0,0.14900769293308258,,0.6752517819404602,10,56,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,5,75.6352,74.7392,0.0,0.11190639436244965,,0.7299025058746338,10,28,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,6,71.2552,70.9595,0.0,0.1564296931028366,,0.6995636224746704,10,52,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,7,69.0368,69.3347,0.0,0.15711729228496552,,0.8438946604728699,10,44,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,8,72.6583,71.8488,0.0,0.08733348548412323,,0.7700856924057007,10,16,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,count,none,0.01,,42,9,71.6155,70.6858,0.0,0.15683259069919586,,0.7635874152183533,10,42,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,0,73.6822,72.9776,0.0,0.23342891037464142,0.5919605493545532,0.445723295211792,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,1,73.0944,72.8408,0.0,0.21974261105060577,0.5566931962966919,0.45214053988456726,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,2,75.4266,74.3800,0.0,0.21625222265720367,0.6018202304840088,0.4132567048072815,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,3,74.0804,73.3026,0.0,0.22829726338386536,0.6052331924438477,0.40108439326286316,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,4,70.0986,68.7532,0.0,0.2342521846294403,0.5747060775756836,0.44362637400627136,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,5,75.5404,74.7905,0.0,0.23904739320278168,0.6217292547225952,0.37716615200042725,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,6,71.6534,70.7371,0.0,0.23671241104602814,0.6113007068634033,0.4103021025657654,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,7,68.2594,67.9152,0.0,0.2297539860010147,0.5422828793525696,0.47506198287010193,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,8,72.8669,71.9001,0.0,0.23874668776988983,0.59651118516922,0.3744809925556183,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,mlp,none,0.01,500,42,9,71.5017,70.2069,0.0,0.20871737599372864,0.5582100749015808,0.44864940643310547,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
wikics,polynormer,oracle,none,0.01,,42,0,74.2700,73.8669,0.0,0.3469803035259247,,,10,,"lr=0.001,hid=512,do=0.5,wd=0.0,heads=1,ll=7,gl=2,le=100,ge=1000,beta=-1.0"
